Id,Label,att1,att2,att3,att4
1,MAG_002,MAG_002,Proteobacteria,0.553199,M36
2,MAG_004,MAG_004,Actinobacteriota,0.022951,M7
3,MAG_007,MAG_007,Bacteroidota,0.178057,M12
4,MAG_008,MAG_008,Bacteroidota,0.156263,M5
5,MAG_010,MAG_010,Verrucomicrobiota,0.139917,M9
6,MAG_014,MAG_014,Firmicutes,1.242006,M5
7,MAG_016,MAG_016,Myxococcota,0.447062,M11
8,MAG_019,MAG_019,Myxococcota,0.650405,M8
9,MAG_031,MAG_031,Fibrobacterota,0.556449,M27
10,MAG_032,MAG_032,Proteobacteria,0.286176,M8
11,MAG_033,MAG_033,Proteobacteria,0.171543,M1
12,MAG_035,MAG_035,Thermoproteota,0.06403,M21
13,MAG_050,MAG_050,Proteobacteria,0.108165,M34
14,MAG_051,MAG_051,Bacteroidota,0.232718,M8
15,MAG_052,MAG_052,Bacteroidota,0.21418,M35
16,MAG_053,MAG_053,Desulfobacterota_B,0.232486,M2
17,MAG_054,MAG_054,Proteobacteria,0.160443,M8
18,MAG_056,MAG_056,Proteobacteria,0.56497,M33
19,MAG_057,MAG_057,Myxococcota,0.581436,M8
20,MAG_058,MAG_058,Proteobacteria,0.14048,M14
21,MAG_059,MAG_059,Proteobacteria,0.351097,M8
22,MAG_060,MAG_060,Proteobacteria,0.71005,M38
23,MAG_062,MAG_062,Proteobacteria,0.274853,M14
24,MAG_064,MAG_064,Chloroflexota,0.295613,M3
25,MAG_042,MAG_042,Chloroflexota,0.139599,M3
26,MAG_043,MAG_043,Firmicutes,0.659635,M5
27,MAG_045,MAG_045,Verrucomicrobiota,0.184256,M9
28,MAG_065,MAG_065,Proteobacteria,0.740202,M10
29,MAG_066,MAG_066,Proteobacteria,0.149677,M37
30,MAG_067,MAG_067,Firmicutes,0.117721,M5
31,MAG_070,MAG_070,Proteobacteria,0.171491,M16
32,MAG_074,MAG_074,Firmicutes,0.023943,M5
33,MAG_076,MAG_076,Proteobacteria,0.1449,M28
34,MAG_078,MAG_078,Proteobacteria,1.812748,M41
35,MAG_079,MAG_079,Proteobacteria,0.00771,M7
36,MAG_081,MAG_081,Firmicutes,0.169029,M5
37,MAG_084,MAG_084,Proteobacteria,0.584868,M23
38,MAG_085,MAG_085,Proteobacteria,0.348568,M34
39,MAG_090,MAG_090,Bacteroidota,0.698864,M17
40,MAG_091,MAG_091,Proteobacteria,0.218093,M14
41,MAG_092,MAG_092,Patescibacteria,0.082257,M22
42,MAG_093,MAG_093,Proteobacteria,0.117591,M9
43,MAG_095,MAG_095,Proteobacteria,0.062562,M16
44,MAG_097,MAG_097,Proteobacteria,0.79127,M38
45,MAG_098,MAG_098,Bacteroidota,0.282128,M17
46,MAG_099,MAG_099,Proteobacteria,0.247615,M7
47,MAG_100,MAG_100,Proteobacteria,0.611583,M33
48,MAG_101,MAG_101,Proteobacteria,1.706284,M41
49,MAG_102,MAG_102,Firmicutes,3.927113,M5
50,MAG_103,MAG_103,Bacteroidota,0.784248,M17
51,MAG_105,MAG_105,Patescibacteria,0.012957,M25
52,MAG_108,MAG_108,Firmicutes,0.259367,M5
53,MAG_110,MAG_110,Bacteroidota,0.271656,M35
54,MAG_111,MAG_111,Firmicutes,0.2736,M5
55,MAG_116,MAG_116,Bacteroidota,0.110018,M4
56,MAG_119,MAG_119,Proteobacteria,0.028882,M7
57,MAG_122,MAG_122,Proteobacteria,0.125578,M28
58,MAG_124,MAG_124,Bacteroidota,0.299003,M12
59,MAG_130,MAG_130,Proteobacteria,0.367101,M29
60,MAG_133,MAG_133,Proteobacteria,0.072817,M7
61,MAG_136,MAG_136,Firmicutes,0.178759,M5
62,MAG_137,MAG_137,Proteobacteria,0.693856,M10
63,MAG_139,MAG_139,Proteobacteria,0.05376,M7
64,MAG_141,MAG_141,Patescibacteria,0.010037,M5
65,MAG_142,MAG_142,Firmicutes,0.179409,M5
66,MAG_143,MAG_143,Myxococcota,0.561192,M11
67,MAG_146,MAG_146,Firmicutes,0.528831,M5
68,MAG_147,MAG_147,Firmicutes,0.349637,M5
69,MAG_148,MAG_148,Firmicutes,0.145874,M5
70,MAG_149,MAG_149,Bacteroidota,0.197699,M12
71,MAG_156,MAG_156,Myxococcota,0.529508,M11
72,MAG_159,MAG_159,Firmicutes,0.476305,M5
73,MAG_163,MAG_163,Proteobacteria,0.180114,M37
74,MAG_166,MAG_166,Proteobacteria,0.249382,M30
75,MAG_170,MAG_170,Proteobacteria,0.047673,M16
76,MAG_171,MAG_171,Desulfobacterota_B,0.111091,M2
77,MAG_173,MAG_173,Patescibacteria,0.095118,M22
78,MAG_174,MAG_174,Proteobacteria,0.051264,M39
79,MAG_177,MAG_177,Proteobacteria,0.577314,M23
80,MAG_178,MAG_178,Proteobacteria,0.326387,M31
81,MAG_179,MAG_179,Proteobacteria,0.141675,M1
